SKU;NOME;UNIDADE;IMAGEM
101;Alizar Tauari;CADA;alizar.jpeg
102;Porta Envernizada;CADA;portaverniz.jpeg
103;Portal Tauari;CADA;portal.jpeg
104;Prego;CADA;prego.jpeg
105;Martelo;CADA;martelo.jpeg
106;Anel de Vedação;CADA;anelVedacao.jpeg
107;Carrinho Metalosa Galvanizado;CADA;carrinhoGalvMet.jpeg
108;Carrinho Metalosa Chapa 16;CADA;carrinhoMetalusaAzul.jpeg
109;Carrinho Metalosa Plus Azul;CADA;carrinhoMetalusaLaranja.jpeg
110;Carrinho Metalosa Laranja;CADA;carrinhoMetalusaLaranja.jpeg
111;Carrinho Tramontina Extre-Forte;CADA;carrinhoTramontina.jpeg
112;Tanque até 15.000L;CADA;tanque15000.jpeg
113;Caixa d'água 1000L;CADA;caixaAgua1000.jpeg
114;Pia;CADA;pia.jpeg
115;Registro de pressão docol;CADA;registro.jpeg
116;3 Bocas de Fogão;CADA;3bocaPfogao.jpeg
117;3 Bocas de Fogão + Bifeteira;CADA;3BocaBifeteira.jpeg
118;Compressor;CADA;compressor.jpeg
119;Furadeira 500W;CADA;furadeiraAmador.jpeg
120;Furadeira 600W;CADA;furadeiraProfi.jpeg
121;Parafusadeira e Furadeira a bateria;CADA;parafusadeira.jpeg
122;Telha Americana;CADA;telhaAmericana.jpeg
123;Telha Plan;CADA;telhaPlan.jpeg
124;Telha Pvc;CADA;telhaPvc.jpeg
125;Torneira de Parede;CADA;torneiraParedTigre.jpeg
126;Impermeabilizante e Plastificante;CADA;impermeabilizante.jpeg
127;Vedalit;CADA;vedalit.jpeg
128;Desempenadeira cabo de Madeira;CADA;desempenadeiraMad.jpeg
129;Desempenadeira cabo de Plástico;CADA;desempenadeiraPlas.jpeg
130;Tampa de Vaso;CADA;tampVaso.jpeg
